Ticker
AAPL
MSFT
AMZN
JPM
WMT
UNH
V
PG
JNJ
HD
KO
MRK
CVX
CRM
MCD
CSCO
IBM
AXP
AMGN
VZ
GS
CAT
DIS
HON
NKE
BA
INTC
TRV
DOW
